month,seller,buyer,division,invoice,manufacturing_cost,markup,ending_ic_balance
2026-01,CZ01,JP01,Hardware,144432.01,133733.35,10698.67,348241.04
2026-01,CN01,US01,Hardware,617437.48,571701.37,45736.11,639074.89
2026-01,CZ01,US01,Hardware,516832.64,478548.74,38283.9,576689.03
2026-02,CN01,DE01,Hardware,1922483.15,1780076.99,142406.16,391255.69
2026-02,CZ01,DE01,Hardware,2769679.82,2564518.35,205161.47,627649.95
2026-02,CN01,ES01,Hardware,2045740.41,1894204.08,151536.33,506748.24
2026-02,CZ01,ES01,Hardware,2265180.14,2097389.02,167791.12,773196.04
2026-02,CN01,ES01,Spare Parts,303909.89,281398.05,22511.84,506748.24
2026-02,CZ01,ES01,Spare Parts,948587.59,878321.84,70265.75,773196.04
2026-02,CN01,JP01,Hardware,1770061.02,1638945.39,131115.63,708605.32
2026-02,CZ01,JP01,Hardware,1170455.9,1083755.46,86700.44,348241.04
2026-02,CN01,JP01,Spare Parts,1327174.74,1228865.5,98309.24,708605.32
2026-02,CZ01,JP01,Spare Parts,386573.71,357938.62,28635.09,348241.04
2026-02,CN01,US01,Hardware,2651985.12,2455541.78,196443.34,639074.89
2026-02,CZ01,US01,Hardware,2181322.54,2019743.1,161579.45,576689.03
2026-03,CN01,DE01,Hardware,1928835.61,1785958.9,142876.71,391255.69
2026-03,CZ01,DE01,Hardware,2726537.1,2524571.39,201965.71,627649.95
2026-03,CN01,ES01,Hardware,1988108.69,1840841.38,147267.31,506748.24
2026-03,CZ01,ES01,Hardware,1959373.06,1814234.31,145138.75,773196.04
2026-03,CN01,ES01,Spare Parts,332376.11,307755.65,24620.45,506748.24
2026-03,CZ01,ES01,Spare Parts,1023592.45,947770.79,75821.66,773196.04
2026-03,CN01,JP01,Hardware,2044921.14,1893445.5,151475.64,708605.32
2026-03,CZ01,JP01,Hardware,1262433.39,1168919.81,93513.58,348241.04
2026-03,CN01,JP01,Spare Parts,1408958.88,1304591.56,104367.32,708605.32
2026-03,CZ01,JP01,Spare Parts,445839.8,412814.63,33025.17,348241.04
2026-03,CN01,US01,Hardware,2735165.02,2532560.2,202604.82,639074.89
2026-03,CZ01,US01,Hardware,2083565.13,1929226.97,154338.16,576689.03
2026-04,CN01,DE01,Hardware,1531423.81,1417985.01,113438.8,391255.69
2026-04,CZ01,DE01,Hardware,2188507.19,2026395.55,162111.64,627649.95
2026-04,CN01,ES01,Hardware,2160313.64,2000290.41,160023.23,506748.24
2026-04,CZ01,ES01,Hardware,2224503.3,2059725.28,164778.02,773196.04
2026-04,CN01,ES01,Spare Parts,322374.48,298494.89,23879.59,506748.24
2026-04,CZ01,ES01,Spare Parts,916714.62,848809.83,67904.79,773196.04
2026-04,CN01,JP01,Hardware,1533592.21,1419992.79,113599.42,708605.32
2026-04,CZ01,JP01,Hardware,963596.23,892218.73,71377.5,348241.04
2026-04,CN01,JP01,Spare Parts,1297417.92,1201312.89,96105.03,708605.32
2026-04,CZ01,JP01,Spare Parts,404509.11,374545.48,29963.64,348241.04
2026-04,CN01,US01,Hardware,2594924.67,2402708.02,192216.64,639074.89
2026-04,CZ01,US01,Hardware,1954489.23,1809712.25,144776.98,576689.03
2026-05,CN01,DE01,Hardware,1825182.01,1689983.34,135198.67,391255.69
2026-05,CZ01,DE01,Hardware,2770966.25,2565709.49,205256.76,627649.95
2026-05,CN01,ES01,Hardware,1870393.36,1731845.7,138547.66,506748.24
2026-05,CZ01,ES01,Hardware,2081632.39,1927437.4,154194.99,773196.04
2026-05,CN01,ES01,Spare Parts,310894.6,287865.37,23029.23,506748.24
2026-05,CZ01,ES01,Spare Parts,878024.97,812986.09,65038.89,773196.04
2026-05,CN01,JP01,Hardware,1577116.37,1460292.94,116823.43,708605.32
2026-05,CZ01,JP01,Hardware,1206224.76,1116874.77,89349.98,348241.04
2026-05,CN01,JP01,Spare Parts,1272268.2,1178026.11,94242.09,708605.32
2026-05,CZ01,JP01,Spare Parts,429066.14,397283.47,31782.68,348241.04
2026-05,CN01,US01,Hardware,2466674.67,2283958.02,182716.64,639074.89
2026-05,CZ01,US01,Hardware,1941994.88,1798143.41,143851.47,576689.03
2026-06,CN01,DE01,Hardware,1674718.67,1550665.44,124053.23,391255.69
2026-06,CZ01,DE01,Hardware,2613510.41,2419917.05,193593.36,627649.95
2026-06,CN01,ES01,Hardware,1816696.06,1682125.98,134570.08,506748.24
2026-06,CZ01,ES01,Hardware,2093995.02,1938884.27,155110.74,773196.04
2026-06,CN01,ES01,Spare Parts,312460.79,289315.55,23145.24,506748.24
2026-06,CZ01,ES01,Spare Parts,1000721.4,926593.88,74127.51,773196.04
2026-06,CN01,JP01,Hardware,1750128.67,1620489.51,129639.16,708605.32
2026-06,CZ01,JP01,Hardware,1224390.0,1133694.44,90695.56,348241.04
2026-06,CN01,JP01,Spare Parts,1408460.24,1304129.85,104330.39,708605.32
2026-06,CZ01,JP01,Spare Parts,400679.32,370999.37,29679.95,348241.04
2026-06,CN01,US01,Hardware,2549713.68,2360846.0,188867.68,639074.89
2026-06,CZ01,US01,Hardware,2424704.12,2245096.4,179607.71,576689.03
2026-07,CN01,DE01,Hardware,998728.52,924748.63,73979.89,391255.69
2026-07,CZ01,DE01,Hardware,1636117.58,1514923.69,121193.89,627649.95
2026-07,CN01,ES01,Hardware,1132677.72,1048775.67,83902.05,506748.24
2026-07,CZ01,ES01,Hardware,1475926.3,1366598.42,109327.87,773196.04
2026-07,CN01,ES01,Spare Parts,175305.18,162319.61,12985.57,506748.24
2026-07,CZ01,ES01,Spare Parts,593940.24,549944.67,43995.57,773196.04
2026-07,CN01,JP01,Hardware,953368.8,882748.89,70619.91,708605.32
2026-07,CZ01,JP01,Hardware,631702.0,584909.26,46792.74,348241.04
2026-07,CN01,JP01,Spare Parts,852212.21,789085.38,63126.83,708605.32
2026-07,CZ01,JP01,Spare Parts,223065.53,206542.15,16523.37,348241.04
2026-07,CN01,US01,Hardware,1710474.06,1583772.28,126701.78,639074.89
2026-07,CZ01,US01,Hardware,1538062.12,1424131.59,113930.53,576689.03
